"Country/Region",Total Cases,New Cases,Total Deaths,New Deaths,Total_Recovered,New Recovered,Active Cases,"Serious,Critical",Tot�Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Tuvalu,2805.0,,,,,,2805.0,,"2,32,471",,,,"12,066"
Saint Helena,2166.0,,,,2.0,,2164.0,,"3,54,211",,,,"6,115"
Falkland Islands,1930.0,,,,1930.0,,0.0,,"5,45,352",,"8,632","24,39,107","3,539"
Montserrat,1403.0,,8.0,,1376.0,,19.0,,"2,82,578","1,611","17,762","35,77,442","4,965"
Niue,801.0,,,,801.0,,0.0,,"4,93,835",,,,"1,622"
Diamond Princess,712.0,,13.0,,699.0,,0.0,,,,,,
Vatican City,29.0,,,,29.0,,0.0,,"36,295",,,,799
Western Sahara,10.0,,1.0,,9.0,,0.0,,16,2,,,"6,26,161"
MS Zaandam,9.0,,2.0,,7.0,,0.0,,,,,,
Tokelau,5.0,,,,,,5.0,,"3,628",,,,"1,378"
Total:,687021745.0,"14,511",6863517.0,3.0,659552126.0,"20,724",20606102.0,"39,292","88,138.50",880.5,,,
